titulo,info_header,salario,localizacao,descricao_vaga,info_horário,empresa,url,info_benefícios,info_regime_de_contratacao
Vaga de Trabalhe de Casa Cientista de Dados Sênior,"36 vagas: | Publicada ontem
A combinar
Aracaju - SE (1),Barueri - SP (1)+ cidades","De R$ 9.001,00 a R$ 10.000,00",Barueri - SP (1),"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício.

Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mundo, trabalhando remotamente em cargos de impacto global.

Ao se candidatar para este cargo, você está dando o primeiro passo em um processo que vai além do comum. Nosso objetivo é alinhar suas paixões, habilidades, e expectativas às nossas vagas, colocando você no caminho para desenvolver uma carreira de sucesso excepcional.

Estamos à procura de um excelente Cientista de Dados Sênior para se juntar à Equipe de Pesquisa e Desenvolvimento (P&D) da BairesDev. Esse profissional usará técnicas de dados e aprendizado de máquina para ajudar o negócio a automatizar e dimensionar a tomada de decisões, principalmente produzindo relatórios avançados de análise de dados e modelos baseados em dados para inferir e prever padrões.

O que você vai fazer:

- Ajudar a melhorar a alfabetização de dados e o ambiente analítico geral em toda a empresa.
- Manipular dados estruturados e não estruturados usando SQL e outras linguagens de programação.
- Realizar análises avançadas de dados e reportar resultados.
- Contar a história por trás dos dados de forma convincente para os empresários.
- Construir modelos preditivos e algoritmos de aprendizado de máquina.
- Combinar modelos através de modelagem de conjunto.
- Propor soluções e estratégias para os desafios do negócio.
- Ajudar a projetar e executar experimentos para teste de hipóteses.
- Participar ativamente nas discussões e decisões sobre todo o capítulo de Data Science / Data Engineer.
- Colaborar com gerentes de produtos de dados para criar produtos de dados incríveis.
- Trabalhar com a gestão para priorizar as necessidades de negócios e informações.
- Ajudar a difundir uma mentalidade orientada por dados e a melhorar a alfabetização de dados. Seja um evangelista de dados. Esperamos que você tenha:

- Experiência com Data Science / Data Engineer, machine learning, IA, estatística e outras áreas relacionadas.
- Proficiência com SQL.
- Proficiência em Python, R ou outra linguagem de programação importante.
- Excelentes habilidades de comunicação e capacidade de colaborar e construir relacionamentos com usuários não técnicos.
- Forte conhecimento de probabilidade e estatística, incluindo desenho experimental, modelagem preditiva, otimização e inferência causal.
- Experiência prática com aprendizado de máquina, como classificação de regressão, clustering, redes neurais, seleção de recursos, validação cruzada, maldição da dimensionalidade, compensação de variância de viés, explicabilidade do modelo, PNL, etc.
-Nível de Inglês avançado.

Desejável:

- Experiência com análise de pessoas ou crescimento.
- Experiência com ferramentas de visualização de dados.
- Bom entendimento dos desafios de engenharia para implantação de sistemas de aprendizado de máquina para produção.

O que oferecemos: 

- Modalidade 100% remota - trabalhe de qualquer lugar.
- Excelente remuneração em USD ou na sua moeda local, como preferir.
- Hardware para você trabalhar de casa.
- Horários flexíveis - faça seu próprio horário.
- Licença parental remunerada, férias, e feriados nacionais.
- Ambiente de trabalho inovador e multicultural.
- Colabore e aprenda com o Top 1% global dos talentos de cada área.
- Ambiente de apoio com mentoria, promoções, desenvolvimento de habilidades, e diversas oportunidades de crescimento.

Junte-se a uma equipe global onde seus talentos excepcionais podem se destacar!
Idioma: Inglês - Fluente",Remote Work,Idioma:,https://www.catho.com.br/vagas/trabalhe-de-casa-cientista-de-dados-senior/33292204/,,
Vaga de Trabalhe de Casa Cientista de Dados Sênior,"36 vagas: | Publicada ontem
A combinar
Aracaju - SE (1),Barueri - SP (1)+ cidades","De R$ 9.001,00 a R$ 10.000,00",Barueri - SP (1),"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício.

Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mundo, trabalhando remotamente em cargos de impacto global.

Ao se candidatar para este cargo, você está dando o primeiro passo em um processo que vai além do comum. Nosso objetivo é alinhar suas paixões, habilidades, e expectativas às nossas vagas, colocando você no caminho para desenvolver uma carreira de sucesso excepcional.

Estamos à procura de um excelente Cientista de Dados Sênior para se juntar à Equipe de Pesquisa e Desenvolvimento (P&D) da BairesDev. Esse profissional usará técnicas de dados e aprendizado de máquina para ajudar o negócio a automatizar e dimensionar a tomada de decisões, principalmente produzindo relatórios avançados de análise de dados e modelos baseados em dados para inferir e prever padrões.

O que você vai fazer:

- Ajudar a melhorar a alfabetização de dados e o ambiente analítico geral em toda a empresa.
- Manipular dados estruturados e não estruturados usando SQL e outras linguagens de programação.
- Realizar análises avançadas de dados e reportar resultados.
- Contar a história por trás dos dados de forma convincente para os empresários.
- Construir modelos preditivos e algoritmos de aprendizado de máquina.
- Combinar modelos através de modelagem de conjunto.
- Propor soluções e estratégias para os desafios do negócio.
- Ajudar a projetar e executar experimentos para teste de hipóteses.
- Participar ativamente nas discussões e decisões sobre todo o capítulo de Data Science / Data Engineer.
- Colaborar com gerentes de produtos de dados para criar produtos de dados incríveis.
- Trabalhar com a gestão para priorizar as necessidades de negócios e informações.
- Ajudar a difundir uma mentalidade orientada por dados e a melhorar a alfabetização de dados. Seja um evangelista de dados. Esperamos que você tenha:

- Experiência com Data Science / Data Engineer, machine learning, IA, estatística e outras áreas relacionadas.
- Proficiência com SQL.
- Proficiência em Python, R ou outra linguagem de programação importante.
- Excelentes habilidades de comunicação e capacidade de colaborar e construir relacionamentos com usuários não técnicos.
- Forte conhecimento de probabilidade e estatística, incluindo desenho experimental, modelagem preditiva, otimização e inferência causal.
- Experiência prática com aprendizado de máquina, como classificação de regressão, clustering, redes neurais, seleção de recursos, validação cruzada, maldição da dimensionalidade, compensação de variância de viés, explicabilidade do modelo, PNL, etc.
-Nível de Inglês avançado.

Desejável:

- Experiência com análise de pessoas ou crescimento.
- Experiência com ferramentas de visualização de dados.
- Bom entendimento dos desafios de engenharia para implantação de sistemas de aprendizado de máquina para produção.

O que oferecemos: 

- Modalidade 100% remota - trabalhe de qualquer lugar.
- Excelente remuneração em USD ou na sua moeda local, como preferir.
- Hardware para você trabalhar de casa.
- Horários flexíveis - faça seu próprio horário.
- Licença parental remunerada, férias, e feriados nacionais.
- Ambiente de trabalho inovador e multicultural.
- Colabore e aprenda com o Top 1% global dos talentos de cada área.
- Ambiente de apoio com mentoria, promoções, desenvolvimento de habilidades, e diversas oportunidades de crescimento.

Junte-se a uma equipe global onde seus talentos excepcionais podem se destacar!
Idioma: Inglês - Fluente",Remote Work,Idioma:,https://www.catho.com.br/vagas/trabalhe-de-casa-cientista-de-dados-senior/33292204/,,
Vaga de Trabalhe de Casa Cientista de Dados Sênior,"36 vagas: | Publicada ontem
A combinar
Aracaju - SE (1),Barueri - SP (1)+ cidades","De R$ 9.001,00 a R$ 10.000,00",Barueri - SP (1),"Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos. Entregamos soluções inovadoras para gigantes como Google e Rolls-Royce e as startups mais inovadoras do Vale do Silício.

Temos uma equipe diversa de mais de 4.000 profissionais formada pelo Top 1% dos talentos de tecnologia do mundo, trabalhando remotamente em cargos de impacto global.

Ao se candidatar para este cargo, você está dando o primeiro passo em um processo que vai além do comum. Nosso objetivo é alinhar suas paixões, habilidades, e expectativas às nossas vagas, colocando você no caminho para desenvolver uma carreira de sucesso excepcional.

Estamos à procura de um excelente Cientista de Dados Sênior para se juntar à Equipe de Pesquisa e Desenvolvimento (P&D) da BairesDev. Esse profissional usará técnicas de dados e aprendizado de máquina para ajudar o negócio a automatizar e dimensionar a tomada de decisões, principalmente produzindo relatórios avançados de análise de dados e modelos baseados em dados para inferir e prever padrões.

O que você vai fazer:

- Ajudar a melhorar a alfabetização de dados e o ambiente analítico geral em toda a empresa.
- Manipular dados estruturados e não estruturados usando SQL e outras linguagens de programação.
- Realizar análises avançadas de dados e reportar resultados.
- Contar a história por trás dos dados de forma convincente para os empresários.
- Construir modelos preditivos e algoritmos de aprendizado de máquina.
- Combinar modelos através de modelagem de conjunto.
- Propor soluções e estratégias para os desafios do negócio.
- Ajudar a projetar e executar experimentos para teste de hipóteses.
- Participar ativamente nas discussões e decisões sobre todo o capítulo de Data Science / Data Engineer.
- Colaborar com gerentes de produtos de dados para criar produtos de dados incríveis.
- Trabalhar com a gestão para priorizar as necessidades de negócios e informações.
- Ajudar a difundir uma mentalidade orientada por dados e a melhorar a alfabetização de dados. Seja um evangelista de dados. Esperamos que você tenha:

- Experiência com Data Science / Data Engineer, machine learning, IA, estatística e outras áreas relacionadas.
- Proficiência com SQL.
- Proficiência em Python, R ou outra linguagem de programação importante.
- Excelentes habilidades de comunicação e capacidade de colaborar e construir relacionamentos com usuários não técnicos.
- Forte conhecimento de probabilidade e estatística, incluindo desenho experimental, modelagem preditiva, otimização e inferência causal.
- Experiência prática com aprendizado de máquina, como classificação de regressão, clustering, redes neurais, seleção de recursos, validação cruzada, maldição da dimensionalidade, compensação de variância de viés, explicabilidade do modelo, PNL, etc.
-Nível de Inglês avançado.

Desejável:

- Experiência com análise de pessoas ou crescimento.
- Experiência com ferramentas de visualização de dados.
- Bom entendimento dos desafios de engenharia para implantação de sistemas de aprendizado de máquina para produção.

O que oferecemos: 

- Modalidade 100% remota - trabalhe de qualquer lugar.
- Excelente remuneração em USD ou na sua moeda local, como preferir.
- Hardware para você trabalhar de casa.
- Horários flexíveis - faça seu próprio horário.
- Licença parental remunerada, férias, e feriados nacionais.
- Ambiente de trabalho inovador e multicultural.
- Colabore e aprenda com o Top 1% global dos talentos de cada área.
- Ambiente de apoio com mentoria, promoções, desenvolvimento de habilidades, e diversas oportunidades de crescimento.

Junte-se a uma equipe global onde seus talentos excepcionais podem se destacar!
Idioma: Inglês - Fluente",Remote Work,Idioma:,https://www.catho.com.br/vagas/trabalhe-de-casa-cientista-de-dados-senior/33292204/,,
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Atualizada em 04/09
De R$ 9.001,00 a R$ 10.000,00
Salvador - BA (1)","De R$ 9.001,00 a R$ 10.000,00",,"Automatizar procedimentos de coleta, transformação e carregamento de dados necessários para as análises; Desenvolver modelos estatísticos e algoritmos de machine learning para aperfeiçoar os dados de entrada, tratar os resultados dos modelos do setor elétrico e realizar análises preditivas ou descritivas com base nos dados disponíveis; Avaliar e validar a precisão e o desempenho dos modelos desenvolvidos; Integrar os sistemas existentes através de APIs; Desenvolver interfaces digitais que facilitem o acesso às informações, permitindo também a elaboração de relatório Experiência em atividades de ciência de dados, em atividades do setor elétrico. PowerBI. Conhecimento em Service Now. Facilidade de mapeamento de fluxos/processos. Habilidade de comunicação/relacionamento. Ciências da computação: Programação, algoritmos, estruturas de dados e sistemas de computação Estatística e matemática Análise de Dados: Coleta, preparação, análise e visualização de dados, visando a análise exploratória, modelagem estatística e machine learning, além de bancos de dados, linguagens de consulta e ferramentas de visualização de dados Office 365 (com destaque para Power BI) - avançado Python - nível avançado (principais bibliotecas: Pandas, numpy, matplotlib, ggplot, ScikitLearn) TensorFlow ou PyTorch - nível intermediário ou superior SQL - nível intermediário ou superior Linux - nível avançado Ferramentas low-code (Power Platform) intermediário",seg a sex,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33206001/,"Assistência Médica / Medicina em grupo, Tíquete Alimentação, Vale Transporte",CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Atualizada em 04/09
De R$ 9.001,00 a R$ 10.000,00
Salvador - BA (1)","De R$ 9.001,00 a R$ 10.000,00",,"Automatizar procedimentos de coleta, transformação e carregamento de dados necessários para as análises; Desenvolver modelos estatísticos e algoritmos de machine learning para aperfeiçoar os dados de entrada, tratar os resultados dos modelos do setor elétrico e realizar análises preditivas ou descritivas com base nos dados disponíveis; Avaliar e validar a precisão e o desempenho dos modelos desenvolvidos; Integrar os sistemas existentes através de APIs; Desenvolver interfaces digitais que facilitem o acesso às informações, permitindo também a elaboração de relatório Experiência em atividades de ciência de dados, em atividades do setor elétrico. PowerBI. Conhecimento em Service Now. Facilidade de mapeamento de fluxos/processos. Habilidade de comunicação/relacionamento. Ciências da computação: Programação, algoritmos, estruturas de dados e sistemas de computação Estatística e matemática Análise de Dados: Coleta, preparação, análise e visualização de dados, visando a análise exploratória, modelagem estatística e machine learning, além de bancos de dados, linguagens de consulta e ferramentas de visualização de dados Office 365 (com destaque para Power BI) - avançado Python - nível avançado (principais bibliotecas: Pandas, numpy, matplotlib, ggplot, ScikitLearn) TensorFlow ou PyTorch - nível intermediário ou superior SQL - nível intermediário ou superior Linux - nível avançado Ferramentas low-code (Power Platform) intermediário",seg a sex,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33206001/,"Assistência Médica / Medicina em grupo, Tíquete Alimentação, Vale Transporte",CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Atualizada em 04/09
De R$ 9.001,00 a R$ 10.000,00
Salvador - BA (1)","De R$ 9.001,00 a R$ 10.000,00",,"Automatizar procedimentos de coleta, transformação e carregamento de dados necessários para as análises; Desenvolver modelos estatísticos e algoritmos de machine learning para aperfeiçoar os dados de entrada, tratar os resultados dos modelos do setor elétrico e realizar análises preditivas ou descritivas com base nos dados disponíveis; Avaliar e validar a precisão e o desempenho dos modelos desenvolvidos; Integrar os sistemas existentes através de APIs; Desenvolver interfaces digitais que facilitem o acesso às informações, permitindo também a elaboração de relatório Experiência em atividades de ciência de dados, em atividades do setor elétrico. PowerBI. Conhecimento em Service Now. Facilidade de mapeamento de fluxos/processos. Habilidade de comunicação/relacionamento. Ciências da computação: Programação, algoritmos, estruturas de dados e sistemas de computação Estatística e matemática Análise de Dados: Coleta, preparação, análise e visualização de dados, visando a análise exploratória, modelagem estatística e machine learning, além de bancos de dados, linguagens de consulta e ferramentas de visualização de dados Office 365 (com destaque para Power BI) - avançado Python - nível avançado (principais bibliotecas: Pandas, numpy, matplotlib, ggplot, ScikitLearn) TensorFlow ou PyTorch - nível intermediário ou superior SQL - nível intermediário ou superior Linux - nível avançado Ferramentas low-code (Power Platform) intermediário",seg a sex,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33206001/,"Assistência Médica / Medicina em grupo, Tíquete Alimentação, Vale Transporte",CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Publicada em 27/08
A combinar
Barueri - SP (1)","De R$ 3.001,00 a R$ 4.000,00",,"Este profissional é responsável por atuar de forma estratégica na identificação e resolução de problemas de negócio, transformando dados em insights acionáveis e soluções inteligentes. Utilizando ferramentas e serviços da AWS.

Compreender os desafios de negócio e traduzi-los em problemas analíticos solucionáveis com dados.
Projetar, desenvolver e implantar soluções baseadas em ML/IA utilizando serviços da AWS como SageMaker, Lambda, Glue, entre outros.
Realizar análises exploratórias de dados, engenharia de atributos e avaliação de modelos preditivos.
Garantir a escalabilidade, reprodutibilidade e governança das soluções desenvolvidas.
Colaborar com engenheiros de dados, analistas e stakeholders para alinhar as soluções às necessidades da empresa.
Noções de negócio e noções técnicas de projeto
Importante já ter atuado com projetos


Informações adicionais:

Formação: Ciência da Computação, Estatística, Matemática ou áreas correlatas.
Experiência em projetos de ML/IA.
Tecnologias: Python; SageMaker, S3, Lambda, Bedrock.
Certificações: AWS Certified Cloud Practitioner (desejável).
Inglês intermediário e espanhol básico",,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33123828/,,CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Publicada em 27/08
A combinar
Barueri - SP (1)","De R$ 3.001,00 a R$ 4.000,00",,"Este profissional é responsável por atuar de forma estratégica na identificação e resolução de problemas de negócio, transformando dados em insights acionáveis e soluções inteligentes. Utilizando ferramentas e serviços da AWS.

Compreender os desafios de negócio e traduzi-los em problemas analíticos solucionáveis com dados.
Projetar, desenvolver e implantar soluções baseadas em ML/IA utilizando serviços da AWS como SageMaker, Lambda, Glue, entre outros.
Realizar análises exploratórias de dados, engenharia de atributos e avaliação de modelos preditivos.
Garantir a escalabilidade, reprodutibilidade e governança das soluções desenvolvidas.
Colaborar com engenheiros de dados, analistas e stakeholders para alinhar as soluções às necessidades da empresa.
Noções de negócio e noções técnicas de projeto
Importante já ter atuado com projetos


Informações adicionais:

Formação: Ciência da Computação, Estatística, Matemática ou áreas correlatas.
Experiência em projetos de ML/IA.
Tecnologias: Python; SageMaker, S3, Lambda, Bedrock.
Certificações: AWS Certified Cloud Practitioner (desejável).
Inglês intermediário e espanhol básico",,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33123828/,,CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Publicada em 27/08
A combinar
Barueri - SP (1)","De R$ 3.001,00 a R$ 4.000,00",,"Este profissional é responsável por atuar de forma estratégica na identificação e resolução de problemas de negócio, transformando dados em insights acionáveis e soluções inteligentes. Utilizando ferramentas e serviços da AWS.

Compreender os desafios de negócio e traduzi-los em problemas analíticos solucionáveis com dados.
Projetar, desenvolver e implantar soluções baseadas em ML/IA utilizando serviços da AWS como SageMaker, Lambda, Glue, entre outros.
Realizar análises exploratórias de dados, engenharia de atributos e avaliação de modelos preditivos.
Garantir a escalabilidade, reprodutibilidade e governança das soluções desenvolvidas.
Colaborar com engenheiros de dados, analistas e stakeholders para alinhar as soluções às necessidades da empresa.
Noções de negócio e noções técnicas de projeto
Importante já ter atuado com projetos


Informações adicionais:

Formação: Ciência da Computação, Estatística, Matemática ou áreas correlatas.
Experiência em projetos de ML/IA.
Tecnologias: Python; SageMaker, S3, Lambda, Bedrock.
Certificações: AWS Certified Cloud Practitioner (desejável).
Inglês intermediário e espanhol básico",,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/33123828/,,CLT (Efetivo)
Vaga de Cientista de Dados,"1 vaga: | Free-lancer | Atualizada em 12/08
Até R$ 2.000,00
Cuiaba - MT (1)","Até R$ 2.000,00",BAIRESDEV,"Buscamos um(a) Cientista de Dados para integrar nosso time e atuar na coleta, tratamento, análise e interpretação de dados, criando modelos e dashboards que apoiem decisões inteligentes e de alto impacto.

Experiência com Machine Learning, Big Data, engenharia de dados, data storytelling e análise de dados não estruturados.

Conhecimento de LGPD e práticas de segurança de dados.

Interessados podem se inscrever pela Catho ou acessar o link:
 Graduação completa ou em andamento em áreas de TI (Ciência da Computação, Eng. da Computação, Sistemas de Informação, Estatística, Matemática Aplicada ou correlatas).

Experiência com Python ou R, SQL, visualização de dados (Power BI, Tableau ou similares) e boas práticas de limpeza e organização de dados.","De segunda a sexta, das 08h às 15h",compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/32928799/,"Assistência Médica / Medicina em grupo, Assistência Odontológica, Tíquete Refeição, Tíquete Alimentação, Participação nos lucros",Free-lancer
Vaga de Cientista de Dados,"1 vaga: | Free-lancer | Atualizada em 12/08
Até R$ 2.000,00
Cuiaba - MT (1)","Até R$ 2.000,00",BAIRESDEV,"Buscamos um(a) Cientista de Dados para integrar nosso time e atuar na coleta, tratamento, análise e interpretação de dados, criando modelos e dashboards que apoiem decisões inteligentes e de alto impacto.

Experiência com Machine Learning, Big Data, engenharia de dados, data storytelling e análise de dados não estruturados.

Conhecimento de LGPD e práticas de segurança de dados.

Interessados podem se inscrever pela Catho ou acessar o link:
 Graduação completa ou em andamento em áreas de TI (Ciência da Computação, Eng. da Computação, Sistemas de Informação, Estatística, Matemática Aplicada ou correlatas).

Experiência com Python ou R, SQL, visualização de dados (Power BI, Tableau ou similares) e boas práticas de limpeza e organização de dados.","De segunda a sexta, das 08h às 15h",compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/32928799/,"Assistência Médica / Medicina em grupo, Assistência Odontológica, Tíquete Refeição, Tíquete Alimentação, Participação nos lucros",Free-lancer
Vaga de Cientista de Dados,"1 vaga: | Free-lancer | Atualizada em 12/08
Até R$ 2.000,00
Cuiaba - MT (1)","Até R$ 2.000,00",BAIRESDEV,"Buscamos um(a) Cientista de Dados para integrar nosso time e atuar na coleta, tratamento, análise e interpretação de dados, criando modelos e dashboards que apoiem decisões inteligentes e de alto impacto.

Experiência com Machine Learning, Big Data, engenharia de dados, data storytelling e análise de dados não estruturados.

Conhecimento de LGPD e práticas de segurança de dados.

Interessados podem se inscrever pela Catho ou acessar o link:
 Graduação completa ou em andamento em áreas de TI (Ciência da Computação, Eng. da Computação, Sistemas de Informação, Estatística, Matemática Aplicada ou correlatas).

Experiência com Python ou R, SQL, visualização de dados (Power BI, Tableau ou similares) e boas práticas de limpeza e organização de dados.","De segunda a sexta, das 08h às 15h",compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/32928799/,"Assistência Médica / Medicina em grupo, Assistência Odontológica, Tíquete Refeição, Tíquete Alimentação, Participação nos lucros",Free-lancer
Vaga de Cientista de Dados,"1 vaga: | CLT (Efetivo) | Publicada em 28/07
A combinar
São Carlos - SP (1)","Sobre a vaga:
Vaga: Cientista de Dados
Local: Rua Quintino Bocaiúva, 876 - Cidade de São Carlos
Salário: A combinar  Consideraremos a pretensão salarial do(a) candidato(a).
Escala: Segunda a sexta-feira - Modelo: Presencial Contratação: PJ ou CLT
Horário: 8h00 às 18h
Benefícios:
 "" Vale-transporte (VT)
 "" Almoço no local
 "" Assistência médica (custeada pela empresa para o colaborador) para dependentes valor proposicional.
 "" Participação nos Lucros e Resultados (PLR)

Resumo da Vaga
Buscamos um(a) Cientista de Dados com sólida experiência em modelagem preditiva, análise de dados complexos e aplicação de técnicas de machine learning, especialmente em sinais físico-químicos e espectrais. O(a) profissional atuará em projetos inovadores, colaborando com times multidisciplinares e contribuindo para o desenvolvimento de soluções inteligentes aplicadas à análise espectral e visão computacional.

Formação Acadêmica
Ensino superior completo em uma das áreas abaixo (ou correlatas com ênfase em dados e modelagem):
 "" Ciência de Dados, Estatística ou Matemática Aplicada
 "" Ciência ou Engenharia da Computação
 "" Ciências Naturais (Física, Química, Biologia Computacional/Bioinformática)

Experiência Desejada
De 2 a 3 anos com atuação nas seguintes áreas:
 "" Desenvolvimento e manutenção de pipelines de dados
 "" Modelagem e análise de dados complexos: espectros, sinais, imagens, séries temporais
 "" Implementação de modelos de machine learning (classificação e regressão)
 "" Visão computacional (classificação, detecção, segmentação)
 "" Redes neurais para dados sequenciais (RNNs, LSTMs)
 "" Programação em Python com bibliotecas como Scikit-learn, PyTorch
 "" Análise estatística e engenharia de features

Responsabilidades e Atividades
 "" Desenvolver e treinar modelos de Aprendizado de Máquina aplicados a dados espectrais
 "" Realizar pré-processamento de sinais espectrais e outras entradas complexas
 "" Criar e manter bases de dados estruturadas para treinamento e validação
 "" Escrever código limpo, modular e bem documentado
 "" Automatizar tarefas analíticas e garantir reprodutibilidade dos resultados
 "" Monitorar e avaliar a performance de modelos com métricas apropriadas
 "" Trabalhar em conjunto com equipes de software, eletrônica e aplicações
 "" Elaborar relatórios técnicos e apresentar resultados de forma clara e objetiva

Agradecemos sua atenção e esperamos contar com sua participação no nosso processo seletivo.",,"Sobre a vaga:
Vaga: Cientista de Dados
Local: Rua Quintino Bocaiúva, 876 - Cidade de São Carlos
Salário: A combinar  Consideraremos a pretensão salarial do(a) candidato(a).
Escala: Segunda a sexta-feira - Modelo: Presencial Contratação: PJ ou CLT
Horário: 8h00 às 18h
Benefícios:
 "" Vale-transporte (VT)
 "" Almoço no local
 "" Assistência médica (custeada pela empresa para o colaborador) para dependentes valor proposicional.
 "" Participação nos Lucros e Resultados (PLR)

Resumo da Vaga
Buscamos um(a) Cientista de Dados com sólida experiência em modelagem preditiva, análise de dados complexos e aplicação de técnicas de machine learning, especialmente em sinais físico-químicos e espectrais. O(a) profissional atuará em projetos inovadores, colaborando com times multidisciplinares e contribuindo para o desenvolvimento de soluções inteligentes aplicadas à análise espectral e visão computacional.

Formação Acadêmica
Ensino superior completo em uma das áreas abaixo (ou correlatas com ênfase em dados e modelagem):
 "" Ciência de Dados, Estatística ou Matemática Aplicada
 "" Ciência ou Engenharia da Computação
 "" Ciências Naturais (Física, Química, Biologia Computacional/Bioinformática)

Experiência Desejada
De 2 a 3 anos com atuação nas seguintes áreas:
 "" Desenvolvimento e manutenção de pipelines de dados
 "" Modelagem e análise de dados complexos: espectros, sinais, imagens, séries temporais
 "" Implementação de modelos de machine learning (classificação e regressão)
 "" Visão computacional (classificação, detecção, segmentação)
 "" Redes neurais para dados sequenciais (RNNs, LSTMs)
 "" Programação em Python com bibliotecas como Scikit-learn, PyTorch
 "" Análise estatística e engenharia de features

Responsabilidades e Atividades
 "" Desenvolver e treinar modelos de Aprendizado de Máquina aplicados a dados espectrais
 "" Realizar pré-processamento de sinais espectrais e outras entradas complexas
 "" Criar e manter bases de dados estruturadas para treinamento e validação
 "" Escrever código limpo, modular e bem documentado
 "" Automatizar tarefas analíticas e garantir reprodutibilidade dos resultados
 "" Monitorar e avaliar a performance de modelos com métricas apropriadas
 "" Trabalhar em conjunto com equipes de software, eletrônica e aplicações
 "" Elaborar relatórios técnicos e apresentar resultados de forma clara e objetiva

Agradecemos sua atenção e esperamos contar com sua participação no nosso processo seletivo.",,compartilhar,https://www.catho.com.br/vagas/cientista-de-dados/32762427/,,CLT (Efetivo)
